datetime,longitude,latitude,water_level
2019-01-13 01:33:15.438,12.496002,55.500472,0.404
2019-01-13 01:33:16.456,12.559992,55.462492,0.423
2019-01-13 01:33:17.475,12.623852,55.424473,0.425
2019-01-13 01:33:18.494,12.68758,55.386417,0.438
2019-01-13 01:33:19.512,12.751178,55.348323,0.417
2019-01-13 01:33:20.531,12.814646,55.310191,0.506
2019-01-22 23:31:47.487,12.492098,55.50178,0.469
2019-01-22 23:31:48.506,12.556091,55.4638,0.432
2019-01-22 23:31:49.525,12.619953,55.425781,0.415
2019-01-22 23:31:50.544,12.683684,55.387725,0.446
2019-01-22 23:31:51.562,12.747285,55.349631,0.46
2019-01-22 23:31:52.581,12.810756,55.311499,0.512
2019-02-01 21:30:19.543,12.489649,55.502284,0.423
2019-02-01 21:30:20.561,12.553645,55.464305,0.419
2019-02-01 21:30:21.580,12.61751,55.426287,0.418
2019-02-01 21:30:22.599,12.681244,55.388231,0.398
2019-02-01 21:30:23.618,12.744847,55.350137,0.416
2019-02-01 21:30:24.636,12.808321,55.312005,0.416
2019-02-11 19:28:51.518,12.490918,55.499979,0.373
2019-02-11 19:28:52.537,12.554911,55.461998,0.319
2019-02-11 19:28:53.556,12.618773,55.42398,0.311
2019-02-11 19:28:54.574,12.682505,55.385923,0.369
2019-02-11 19:28:55.593,12.746106,55.347828,0.328
2019-02-11 19:28:56.612,12.809577,55.309696,0.37
2019-02-21 17:27:23.096,12.48832,55.498945,0.461
2019-02-21 17:27:24.115,12.552317,55.460966,0.406
2019-02-21 17:27:25.133,12.616182,55.422949,0.446
2019-02-21 17:27:26.152,12.679917,55.384894,0.485
2019-02-21 17:27:27.171,12.743522,55.346802,0.489
2019-02-21 17:27:28.189,12.806996,55.308671,0.502
2019-03-13 13:24:25.155,12.486709,55.499464,0.325
2019-03-13 13:24:26.174,12.550708,55.461486,0.309
2019-03-13 13:24:27.193,12.614576,55.42347,0.349
2019-03-13 13:24:29.230,12.741921,55.347324,0.052
